frame,id,class,score,left,top,right,bottom,metric_status
10,6,car,0.7284068465232849,1130,187,1198,223,FP
10,7,pedestrian,0.5823872685432434,291,161,316,229,TP
10,8,car,0.6487799882888794,962,184,1063,221,TP
10,10,cyclist,0.796568522021532,85,202,196,389,FP
10,11,pedestrian,0.7819787263870239,498,163,537,257,TP
10,12,pedestrian,0.4772060811519623,332,162,357,230,TP
10,15,pedestrian,0.8971454501152039,0,189,87,366,FP
11,2,car,0.7902688384056091,1053,186,1152,221,TP
11,3,pedestrian,0.7435416579246521,212,157,237,221,TP
11,4,pedestrian,0.607486488603965,446,164,477,252,FP
11,5,pedestrian,0.6674115657806396,246,163,269,220,TP
11,6,car,0.7234390377998352,1131,187,1199,223,FP
11,7,pedestrian,0.6171478629112244,292,161,318,230,TP
11,8,car,0.6707013249397278,962,184,1063,221,TP
11,10,cyclist,0.7806371515811014,64,209,175,396,FP
11,11,pedestrian,0.822500467300415,506,162,545,257,TP
11,12,pedestrian,0.46766195952892303,336,162,362,230,FP
11,15,pedestrian,0.8792025411128997,-180,277,-93,454,FP
12,2,car,0.793161928653717,1053,185,1152,221,TP
12,3,pedestrian,0.719484269618988,213,158,237,221,TP
12,4,pedestrian,0.5953367588318857,446,164,477,252,FP
12,5,pedestrian,0.6658250093460083,246,163,269,221,TP
12,6,car,0.73701411485672,1131,187,1199,223,FP
12,7,pedestrian,0.733924925327301,293,161,320,231,TP
12,8,car,0.6242282390594482,962,184,1063,221,TP
12,10,cyclist,0.7650244085494793,43,216,154,402,FP
12,11,pedestrian,0.862649142742157,514,162,554,258,TP
12,12,pedestrian,0.4583087203383446,341,161,366,229,FP
12,15,pedestrian,0.8616184902906417,-361,365,-274,542,FP
12,17,pedestrian,0.7673954367637634,328,162,356,233,TP
13,2,car,0.7932680249214172,1053,185,1152,221,TP
13,3,pedestrian,0.7329122424125671,213,157,237,222,TP
13,4,pedestrian,0.583430023655248,446,164,477,252,FP
13,5,pedestrian,0.6983722448348999,246,163,269,222,TP
13,6,car,0.7287105917930603,1131,187,1199,223,FP
13,7,pedestrian,0.7230388522148132,294,162,321,232,TP
13,8,car,0.6395837068557739,962,184,1063,221,TP
13,10,cyclist,0.7497239203784897,22,223,133,409,FP
13,11,pedestrian,0.8601641654968262,520,163,562,260,TP
13,12,pedestrian,0.44914254593157765,345,161,371,229,FP
13,15,pedestrian,0.8443861204848289,-541,453,-454,630,FP
13,17,pedestrian,0.7388128638267517,330,162,356,233,TP
13,18,pedestrian,0.6581563353538513,279,163,297,225,FP
14,2,car,0.7848997116088867,1053,185,1153,221,TP
14,3,pedestrian,0.7075431942939758,212,157,237,223,TP
14,4,pedestrian,0.5717614231821431,446,164,477,252,FP
14,5,pedestrian,0.6679837703704834,246,163,269,223,TP
14,6,car,0.7302388548851013,1130,187,1199,223,FP
14,7,pedestrian,0.7409697771072388,294,161,322,232,TP
14,8,car,0.6513121724128723,962,184,1063,221,TP
14,10,cyclist,0.7347294419709198,1,230,112,416,FP
14,11,pedestrian,0.8648990392684937,526,163,568,261,TP
14,12,pedestrian,0.4401596950129461,349,160,375,229,FP
14,15,pedestrian,0.8274983980751323,-722,541,-635,718,FP
14,17,pedestrian,0.7718785405158997,332,162,359,233,TP
14,18,pedestrian,0.5023505091667175,278,163,296,225,TP
15,2,car,0.7994665503501892,1053,185,1152,221,TP
15,3,pedestrian,0.7153132557868958,213,157,238,224,TP
15,4,pedestrian,0.5603261947185002,446,164,477,252,FP
15,5,pedestrian,0.7335960865020752,246,162,269,223,TP
15,6,car,0.7271118760108948,1130,187,1199,223,FP
15,7,pedestrian,0.7557082772254944,295,160,323,233,TP
15,8,car,0.6543699502944946,962,184,1063,221,TP
15,10,cyclist,0.7200348531315014,-18,236,91,423,FP
15,11,pedestrian,0.8626550436019897,532,162,573,261,TP
15,12,pedestrian,0.4313565011126872,354,160,379,228,FP
15,15,pedestrian,0.8109484301136296,-902,629,-815,806,FP
15,17,pedestrian,0.779725968837738,334,162,361,234,TP
15,18,pedestrian,0.5153844952583313,280,163,298,225,TP
16,2,car,0.7920500040054321,1053,185,1152,221,TP
16,3,pedestrian,0.7017663717269897,213,158,238,224,TP
16,4,pedestrian,0.5491196708241302,446,164,477,252,FP
16,5,pedestrian,0.7177457809448242,246,162,269,224,TP
16,6,car,0.7273139953613281,1130,187,1199,223,FP
16,7,pedestrian,0.7528999447822571,297,160,324,234,TP
16,8,car,0.6574729681015015,962,184,1063,221,TP
16,10,cyclist,0.7056341560688714,-39,243,71,430,FP
16,11,pedestrian,0.8028566241264343,536,161,576,261,TP
16,12,pedestrian,0.42272937109043346,358,160,384,228,FP
16,15,pedestrian,0.794729461511357,-1083,717,-996,894,FP
16,17,pedestrian,0.7042350769042969,336,160,364,234,TP
16,18,pedestrian,0.6326751112937927,281,163,299,224,TP
17,2,car,0.7961309552192688,1053,185,1152,221,TP
17,3,pedestrian,0.7035810947418213,213,158,239,225,TP
17,4,pedestrian,0.5381372774076475,446,164,477,252,FP
17,5,pedestrian,0.7000860571861267,247,164,270,226,TP
17,6,car,0.7287036180496216,1130,187,1199,223,FP
17,7,pedestrian,0.7866941690444946,299,160,327,235,TP
17,8,car,0.6685982346534729,962,185,1063,221,TP
17,10,cyclist,0.6915214729474939,-60,250,50,437,FP
17,11,pedestrian,0.835638165473938,542,161,583,262,TP
17,12,pedestrian,0.4142747836686248,363,159,388,227,FP
17,15,pedestrian,0.7788348722811299,-1263,805,-1176,982,FP
17,17,pedestrian,0.7031645178794861,339,159,367,234,TP
17,18,pedestrian,0.5904938578605652,283,163,301,224,TP
17,19,pedestrian,0.7259097099304199,910,166,938,292,FP
18,2,car,0.7935603857040405,1053,185,1152,221,TP
18,3,pedestrian,0.705112636089325,213,158,239,226,TP
18,4,pedestrian,0.5273745318594946,446,164,477,252,FP
18,5,pedestrian,0.7385666966438293,247,164,271,226,TP
18,6,car,0.7384751439094543,1130,187,1199,223,FP
18,7,pedestrian,0.7541097402572632,300,160,329,236,TP
18,8,car,0.6943134665489197,961,185,1062,221,TP
18,10,cyclist,0.677691043488544,-81,257,29,443,FP
18,11,pedestrian,0.8154688477516174,547,162,588,264,TP
18,12,pedestrian,0.4059892879952523,367,159,393,227,FP
18,15,pedestrian,0.7632581748355073,-1444,893,-1357,1070,FP
18,17,pedestrian,0.7074440717697144,342,160,370,234,TP
18,18,pedestrian,0.6460506916046143,283,163,302,225,TP
18,19,pedestrian,0.6987189650535583,915,165,946,290,FP
19,2,car,0.7909718751907349,1053,185,1152,221,TP
19,3,pedestrian,0.7163101434707642,213,157,239,226,TP
19,4,pedestrian,0.5168270412223047,446,164,477,252,FP
19,5,pedestrian,0.7492044568061829,248,163,272,227,TP
19,6,car,0.7202640175819397,1130,187,1198,223,FP
19,7,pedestrian,0.6944059729576111,303,160,331,236,TP
19,8,car,0.6928274035453796,961,185,1062,221,TP
19,10,cyclist,0.6641372226187732,-102,264,8,450,FP
19,11,pedestrian,0.7831384539604187,551,162,592,265,TP
19,12,pedestrian,0.3978695022353472,371,158,397,226,FP
19,15,pedestrian,0.7479930113387971,-1624,981,-1537,1158,FP
19,17,pedestrian,0.6450865864753723,345,161,372,235,TP
19,18,pedestrian,0.5738574266433716,283,163,303,225,TP
19,20,pedestrian,0.7855122089385986,922,166,969,294,TP
20,2,car,0.7946012020111084,1053,185,1153,221,TP
20,3,pedestrian,0.7152683734893799,213,157,239,227,TP
20,4,pedestrian,0.5064905003978586,446,164,477,252,FP
20,5,pedestrian,0.6985853314399719,249,163,272,228,TP
20,6,car,0.7351515293121338,1130,187,1198,223,FP
20,7,pedestrian,0.6428725123405457,305,159,333,236,TP
20,8,car,0.5079426169395447,961,185,1062,221,TP
20,10,cyclist,0.6508544781663977,-123,270,-12,457,FP
20,11,pedestrian,0.81288743019104,558,161,599,266,TP
20,12,pedestrian,0.38991211219064026,376,158,402,226,FP
20,15,pedestrian,0.7330331511120212,-1805,1069,-1718,1246,FP
20,17,pedestrian,0.6822783350944519,348,162,376,236,TP
20,18,pedestrian,0.3677201271057129,282,163,302,226,TP
20,20,pedestrian,0.7605506777763367,933,168,987,296,TP
20,21,pedestrian,0.6504262089729309,910,157,942,305,FP
21,2,car,0.795465350151062,1054,185,1153,221,TP
21,3,pedestrian,0.7282000184059143,212,157,239,228,TP
21,4,pedestrian,0.4963606903899014,446,164,477,252,FP
21,5,pedestrian,0.7076582908630371,249,163,273,229,TP
21,6,car,0.7279086709022522,1130,187,1198,223,FP
21,7,pedestrian,0.6978885531425476,308,160,337,237,TP
21,8,car,0.46641892194747925,970,184,1066,221,TP
21,10,cyclist,0.6378373886030698,-143,277,-33,464,FP
21,11,pedestrian,0.8271001577377319,566,161,608,267,TP
21,12,pedestrian,0.38211386994682744,380,157,406,225,FP
21,15,pedestrian,0.7183724880897807,-1985,1157,-1898,1334,FP
21,17,pedestrian,0.7342485785484314,350,163,378,237,TP
21,18,pedestrian,0.5776649117469788,285,163,304,227,TP
21,20,pedestrian,0.8007965087890625,938,168,996,298,TP
21,21,pedestrian,0.6374176847934723,890,158,922,306,FP
21,22,pedestrian,0.786144495010376,910,154,950,304,TP
22,2,car,0.7957819700241089,1054,185,1153,221,TP
22,3,pedestrian,0.700082004070282,213,157,240,228,TP
22,4,pedestrian,0.48643347658210334,446,164,477,252,FP
22,5,pedestrian,0.6945996880531311,250,163,274,230,TP
22,6,car,0.7355343103408813,1130,187,1198,223,FP
22,7,pedestrian,0.7329218983650208,311,160,342,238,TP
22,8,car,0.6360452771186829,977,185,1068,220,TP
22,10,cyclist,0.6250806408310084,-164,284,-53,471,FP
22,11,pedestrian,0.8358296751976013,574,162,618,268,TP
22,12,pedestrian,0.37447159254789086,385,157,410,225,FP
22,15,pedestrian,0.7040050383279851,-2166,1245,-2079,1422,FP
22,17,pedestrian,0.7173806428909302,352,163,381,237,TP
22,18,pedestrian,0.5726908445358276,286,163,306,227,TP
22,20,pedestrian,0.7618223428726196,950,169,1005,300,FP
22,21,pedestrian,0.6246693310976028,871,159,903,307,FP
22,22,pedestrian,0.749996542930603,914,155,957,304,TP
23,2,car,0.7919979691505432,1054,185,1153,221,TP
23,3,pedestrian,0.747487485408783,214,157,242,229,TP
23,4,pedestrian,0.47670480705046125,446,164,477,252,FP
23,5,pedestrian,0.6663451194763184,251,163,275,230,TP
23,6,car,0.7244726419448853,1130,187,1198,223,FP
23,7,pedestrian,0.7123228907585144,314,160,345,239,TP
23,8,car,0.681071400642395,982,185,1069,220,FP
23,10,cyclist,0.6125790280143882,-185,291,-74,477,FP
23,11,pedestrian,0.806404709815979,579,162,625,270,TP
23,12,pedestrian,0.366982160696933,389,156,415,225,FP
23,15,pedestrian,0.6899249375614254,-2346,1333,-2259,1510,FP
23,17,pedestrian,0.7464913725852966,355,162,383,237,TP
23,18,pedestrian,0.5786364674568176,287,163,308,228,TP
23,20,pedestrian,0.7855836153030396,961,169,1012,301,FP
23,21,pedestrian,0.6121759444756507,851,160,883,308,FP
23,22,pedestrian,0.8076220750808716,919,154,967,305,TP
24,2,car,0.7979254126548767,1054,185,1153,221,TP
24,3,pedestrian,0.7530989646911621,215,156,243,230,TP
24,4,pedestrian,0.467170710909452,446,164,477,252,FP
24,5,pedestrian,0.675950825214386,252,162,276,230,TP
24,6,car,0.7189244627952576,1131,187,1199,223,FP
24,7,pedestrian,0.642763614654541,315,161,347,240,TP
24,8,car,0.7301955819129944,987,185,1069,220,FP
24,10,cyclist,0.6003274474541005,-206,298,-95,484,FP
24,11,pedestrian,0.8247435688972473,586,163,633,271,TP
24,12,pedestrian,0.35964251748299436,393,156,419,224,FP
24,15,pedestrian,0.6761264388101969,-2527,1421,-2440,1598,FP
24,17,pedestrian,0.801007866859436,358,163,387,238,TP
24,18,pedestrian,0.5133702158927917,290,162,311,228,TP
24,20,pedestrian,0.7021361589431763,971,169,1020,300,FP
24,21,pedestrian,0.5999324255861377,832,161,864,309,FP
24,22,pedestrian,0.8674736618995667,925,154,982,306,TP
25,2,car,0.7882639765739441,1054,185,1153,221,TP
25,3,pedestrian,0.7477967739105225,216,156,245,230,TP
25,4,pedestrian,0.45782729669126293,446,164,477,252,FP
25,5,pedestrian,0.6912086606025696,253,161,278,231,TP
25,6,car,0.7140076756477356,1131,187,1199,223,FP
25,7,pedestrian,0.6471077799797058,317,160,348,241,TP
25,8,car,0.7155916702747345,989,185,1070,220,FP
25,10,cyclist,0.5883208985050185,-227,305,-116,491,FP
25,11,pedestrian,0.8054465055465698,592,162,639,271,TP
25,12,pedestrian,0.3524496671333345,398,156,424,224,FP
25,15,pedestrian,0.6626039100339929,-2707,1509,-2620,1686,FP
25,17,pedestrian,0.783878743648529,361,164,390,239,TP
25,18,pedestrian,0.6153221130371094,291,162,313,228,TP
25,20,pedestrian,0.7621998190879822,982,169,1030,302,FP
25,21,pedestrian,0.587933777074415,812,162,844,310,FP
25,22,pedestrian,0.8848055005073547,929,155,994,308,TP
26,2,car,0.778757631778717,1054,185,1153,221,TP
26,3,pedestrian,0.7577787637710571,217,156,246,231,TP
26,4,pedestrian,0.4486707507574377,446,164,477,252,FP
26,5,pedestrian,0.690306544303894,255,161,279,231,TP
26,6,car,0.7140768766403198,1131,187,1199,223,FP
26,7,pedestrian,0.733013391494751,318,160,349,241,TP
26,8,car,0.7012798368692398,990,185,1070,220,FP
26,10,cyclist,0.5765544805349181,-248,311,-137,498,FP
26,11,pedestrian,0.8352430462837219,599,161,644,272,TP
26,12,pedestrian,0.3454006737906678,402,155,428,223,FP
26,15,pedestrian,0.649351831833313,-2888,1597,-2801,1774,FP
26,17,pedestrian,0.7693366408348083,363,164,392,239,TP
26,18,pedestrian,0.5293256640434265,293,161,315,229,TP
26,20,pedestrian,0.6172678470611572,995,170,1045,304,FP
26,21,pedestrian,0.5761751015329266,793,163,825,311,FP
26,22,pedestrian,0.8504955768585205,936,154,1003,308,TP
27,2,car,0.7426958084106445,1053,185,1153,221,TP
27,3,pedestrian,0.7821677327156067,219,157,247,233,TP
27,4,pedestrian,0.4396973357422889,446,164,477,252,FP
27,5,pedestrian,0.7320202589035034,256,161,281,232,TP
27,6,car,0.710038423538208,1130,187,1198,223,FP
27,7,pedestrian,0.7452168464660645,320,160,351,242,TP
27,8,car,0.687254240131855,991,185,1071,220,FP
27,10,cyclist,0.5650233909242197,-269,318,-158,505,FP
27,11,pedestrian,0.7822285294532776,605,161,652,274,TP
27,12,pedestrian,0.3384926603148544,407,155,432,223,FP
27,15,pedestrian,0.6363647951966468,-3068,1685,-2981,1862,FP
27,17,pedestrian,0.7953487634658813,367,164,397,240,TP
27,18,pedestrian,0.6112929582595825,295,161,317,229,TP
27,20,pedestrian,0.7609941363334656,1006,171,1058,306,FP
27,21,pedestrian,0.5646515995022681,773,164,805,312,FP
27,22,pedestrian,0.8491250276565552,947,154,1012,308,TP
28,2,car,0.7438178658485413,1052,186,1152,221,TP
28,3,pedestrian,0.7881192564964294,220,157,248,233,TP
28,4,pedestrian,0.43090338902744313,446,164,477,252,FP
28,5,pedestrian,0.7430461049079895,258,162,282,233,TP
28,6,car,0.6867355704307556,1130,187,1198,223,FP
28,7,pedestrian,0.7525789737701416,322,159,353,243,TP
28,8,car,0.6735091553292178,992,185,1072,220,FP
28,10,cyclist,0.5537229231057353,-289,325,-179,512,FP
28,11,pedestrian,0.829078197479248,610,162,658,275,TP
28,12,pedestrian,0.33172280710855734,411,154,437,222,FP
28,15,pedestrian,0.6236374992927138,-3249,1773,-3162,1950,FP
28,17,pedestrian,0.7392623424530029,373,164,402,240,TP
28,18,pedestrian,0.600856602191925,297,162,320,231,TP
28,20,pedestrian,0.8032378554344177,1011,171,1066,308,FP
28,21,pedestrian,0.5533585675122227,754,165,786,313,FP
28,22,pedestrian,0.8321425271034241,951,152,1017,307,TP
29,2,car,0.7210800051689148,1054,186,1153,221,TP
29,3,pedestrian,0.7967233061790466,221,157,248,234,TP
29,4,pedestrian,0.4222853212468943,446,164,477,252,FP
29,5,pedestrian,0.6986356973648071,260,161,284,233,TP
29,6,car,0.6816012859344482,1131,187,1198,223,FP
29,7,pedestrian,0.7320927977561951,324,160,355,244,TP
29,8,car,0.6600389722226335,992,185,1072,220,FP
29,10,cyclist,0.5426484646436206,-310,332,-199,518,FP
29,11,pedestrian,0.757197916507721,615,162,663,276,TP
29,12,pedestrian,0.32508835096638616,415,154,441,222,FP
29,15,pedestrian,0.6111647493068596,-3429,1861,-3342,2038,FP
29,17,pedestrian,0.6489924788475037,378,164,408,240,TP
29,18,pedestrian,0.623148500919342,299,163,321,232,TP
29,20,pedestrian,0.6842848658561707,1023,171,1075,309,FP
29,21,pedestrian,0.5422913961619782,734,166,766,314,FP
29,22,pedestrian,0.8154996765613556,955,150,1021,305,TP
29,24,pedestrian,0.8336325883865356,984,155,1059,316,TP
30,2,car,0.6786465644836426,1057,186,1155,221,TP
30,3,pedestrian,0.8068193197250366,222,156,249,234,TP
30,4,pedestrian,0.41383961482195636,446,164,477,252,FP
30,5,pedestrian,0.5955687761306763,262,160,287,234,TP
30,6,car,0.6765555143356323,1131,187,1197,223,FP
30,7,pedestrian,0.7879484295845032,327,160,359,245,TP
30,8,car,0.6468381927781809,993,185,1073,220,FP
30,10,cyclist,0.5317954953507482,-331,339,-220,525,FP
30,11,pedestrian,0.5998255610466003,622,161,667,276,TP
30,12,pedestrian,0.3185865839470584,420,153,446,221,FP
30,15,pedestrian,0.5989414543207224,-3610,1949,-3523,2126,FP
30,17,pedestrian,0.7652879953384399,382,164,413,241,TP
30,18,pedestrian,0.6248611807823181,301,164,323,233,TP
30,20,pedestrian,0.6919223666191101,1034,168,1085,305,FP
30,21,pedestrian,0.5314455682387386,715,167,747,315,FP
30,22,pedestrian,0.7991896830301285,960,148,1026,303,FP
30,24,pedestrian,0.8765282034873962,985,155,1072,316,TP
31,2,car,0.658669114112854,1062,186,1156,221,TP
31,3,pedestrian,0.7764828205108643,223,156,251,235,TP
31,4,pedestrian,0.40556282252551723,446,164,477,252,FP
31,5,pedestrian,0.6103713512420654,265,160,290,234,TP
31,6,car,0.6519544720649719,1131,187,1197,223,FP
31,7,pedestrian,0.7012782692909241,331,160,363,245,TP
31,8,car,0.6339014289226172,994,185,1074,220,FP
31,10,cyclist,0.5211595854437332,-352,345,-241,532,FP
31,11,pedestrian,0.5878290498256683,628,161,673,277,TP
31,12,pedestrian,0.31221485226811724,424,153,450,221,FP
31,15,pedestrian,0.586962625234308,-3790,2037,-3703,2214,FP
31,17,pedestrian,0.7288833856582642,384,164,415,241,TP
31,18,pedestrian,0.6815764307975769,302,164,324,233,TP
31,20,pedestrian,0.8103176951408386,1049,171,1101,309,TP
31,21,pedestrian,0.5208166568739638,695,168,727,316,FP
31,22,pedestrian,0.783205889369526,964,146,1030,301,FP
31,24,pedestrian,0.8484057188034058,983,154,1073,316,TP
32,2,car,0.5787822008132935,1070,186,1159,221,FP
32,3,pedestrian,0.7891882658004761,224,158,252,236,TP
32,4,pedestrian,0.39745156607500687,446,164,477,252,FP
32,5,pedestrian,0.703224778175354,267,160,292,235,TP
32,6,car,0.6303948760032654,1131,187,1198,223,FP
32,7,pedestrian,0.724686861038208,335,160,367,246,TP
32,8,car,0.6212234003441649,995,185,1075,220,FP
32,10,cyclist,0.5107363937348586,-373,352,-262,539,FP
32,11,pedestrian,0.576072468829155,634,161,680,278,TP
32,12,pedestrian,0.3059705552227549,429,152,454,221,FP
32,15,pedestrian,0.5752233727296218,-3971,2125,-3884,2302,FP
32,17,pedestrian,0.759490430355072,388,164,419,241,TP
32,18,pedestrian,0.6876223683357239,303,164,327,234,TP
32,20,pedestrian,0.7800719141960144,1064,172,1119,311,TP
32,21,pedestrian,0.5104003237364846,676,169,708,317,FP
32,24,pedestrian,0.846591591835022,986,153,1074,316,TP
33,2,car,0.5672065567970276,1071,186,1159,221,FP
33,3,pedestrian,0.8017683625221252,226,158,254,237,TP
33,4,pedestrian,0.3895025347535067,446,164,477,252,FP
33,5,pedestrian,0.6821156740188599,269,160,294,236,TP
33,6,car,0.5397512912750244,1131,187,1197,223,FP
33,7,pedestrian,0.7404468059539795,339,160,373,247,TP
33,8,car,0.6087989323372816,996,185,1076,220,FP
33,10,cyclist,0.5005216658601614,-394,359,-283,546,FP
33,11,pedestrian,0.5645510194525719,640,161,686,278,TP
33,15,pedestrian,0.5637189052750293,-4151,2213,-4064,2390,FP
33,17,pedestrian,0.7547899484634399,392,164,422,241,TP
33,18,pedestrian,0.7054423093795776,306,164,329,235,TP
33,20,pedestrian,0.8281194567680359,1078,173,1134,314,FP
33,24,pedestrian,0.8296597599983215,976,150,1065,313,FP
33,25,pedestrian,0.8108219504356384,1030,154,1089,320,TP
34,2,car,0.555862425661087,1072,186,1160,221,FP
34,3,pedestrian,0.7970812320709229,228,158,257,238,TP
34,4,pedestrian,0.38171248405843655,446,164,477,252,FP
34,5,pedestrian,0.6057584285736084,270,159,296,236,TP
34,6,car,0.6158977746963501,1128,187,1196,223,FP
34,7,pedestrian,0.7389782667160034,343,161,377,247,TP
34,8,car,0.632167637348175,971,185,1058,220,TP
34,10,cyclist,0.4905112325429582,-414,366,-304,552,FP
34,11,pedestrian,0.5532599990635204,647,162,692,279,TP
34,15,pedestrian,0.5524445271695287,-4332,2301,-4245,2478,FP
34,17,pedestrian,0.8386908769607544,396,164,427,242,TP
34,18,pedestrian,0.6642630100250244,309,163,333,235,TP
34,20,pedestrian,0.7444747686386108,1089,174,1144,316,FP
34,24,pedestrian,0.813066564798355,967,147,1056,310,FP
34,25,pedestrian,0.760948657989502,1046,154,1102,322,TP
35,2,car,0.5447451771478653,1073,186,1160,221,FP
35,3,pedestrian,0.7734197974205017,230,158,260,238,TP
35,4,pedestrian,0.37407823437726784,446,164,477,252,FP
35,5,pedestrian,0.6179559230804443,274,159,300,237,TP
35,6,car,0.6153504252433777,1129,187,1197,223,FP
35,7,pedestrian,0.4001717269420624,346,161,379,248,TP
35,8,car,0.7187999486923218,967,184,1059,221,TP
35,10,cyclist,0.480701007892099,-435,373,-324,559,FP
35,11,pedestrian,0.54219479908225,653,162,698,279,TP
